record_type,p_per_opportunity,opportunities_per_minute,expected_engagements_per_minute_analytical,expected_engagements_per_minute_simulated,p_at_least_one_per_minute_analytical,p_at_least_one_per_minute_simulated,mc_60_minute_sessions,mc_equivalent_opportunities,rate_a_over_rate_b,p_a_over_p_b,weaker_per_event_b_stronger_per_minute,rate_a,rate_b,p_a,p_b,engagements_per_minute_a_analytical,engagements_per_minute_b_analytical,engagements_per_minute_a_simulated,engagements_per_minute_b_simulated
opportunity_cadence,0.01,1,0.01,0.00989180216395672,0.010000000000000009,0.009952,16667,1000020,,,,,,,,,,,
opportunity_cadence,0.01,2,0.02,0.019920406367490602,0.01990000000000003,0.020066,8334,1000080,,,,,,,,,,,
opportunity_cadence,0.01,3,0.03,0.030375569954403648,0.029700999999999977,0.029951940096119806,5556,1000080,,,,,,,,,,,
opportunity_cadence,0.01,5,0.05,0.0493501299740052,0.04900995010000009,0.049385,3334,1000200,,,,,,,,,,,
opportunity_cadence,0.01,10,0.1,0.0995500899820036,0.09561792499119559,0.0963,1667,1000200,,,,,,,,,,,
opportunity_cadence,0.01,20,0.2,0.2,0.18209306240276923,0.17914,834,1000800,,,,,,,,,,,
opportunity_cadence,0.01,40,0.4,0.40339728217426063,0.3310282414303197,0.33048,417,1000800,,,,,,,,,,,
opportunity_cadence,0.01,60,0.6,0.594304556354916,0.4528433576092388,0.44777104457910843,278,1000800,,,,,,,,,,,
opportunity_cadence,0.02,1,0.02,0.019920601587968243,0.020000000000000018,0.020198,16667,1000020,,,,,,,,,,,
opportunity_cadence,0.02,2,0.04,0.039770818334533234,0.03960000000000008,0.039246,8334,1000080,,,,,,,,,,,
opportunity_cadence,0.02,3,0.06,0.059464242860571156,0.05880800000000008,0.058598882802234395,5556,1000080,,,,,,,,,,,
opportunity_cadence,0.02,5,0.1,0.10046490701859628,0.09607920320000007,0.09658,3334,1000200,,,,,,,,,,,
opportunity_cadence,0.02,10,0.2,0.19873025394921015,0.1829271931124533,0.18276,1667,1000200,,,,,,,,,,,
opportunity_cadence,0.02,20,0.4,0.4007593924860112,0.33239202824490577,0.3322,834,1000800,,,,,,,,,,,
opportunity_cadence,0.02,40,0.8,0.8021982414068745,0.5542995960490493,0.55172,417,1000800,,,,,,,,,,,
opportunity_cadence,0.02,60,1.2,1.2064148681055156,0.7024468573078796,0.7051058978820424,278,1000800,,,,,,,,,,,
opportunity_cadence,0.05,1,0.05,0.050276994460110795,0.050000000000000044,0.050115,16667,1000020,,,,,,,,,,,
opportunity_cadence,0.05,2,0.1,0.09936605071594272,0.09750000000000003,0.097418,8334,1000080,,,,,,,,,,,
opportunity_cadence,0.05,3,0.15000000000000002,0.14987700983921287,0.1426250000000001,0.1427217145565709,5556,1000080,,,,,,,,,,,
opportunity_cadence,0.05,5,0.25,0.2507848430313937,0.22621906250000023,0.22657,3334,1000200,,,,,,,,,,,
opportunity_cadence,0.05,10,0.5,0.5007198560287942,0.4012630607616213,0.40456,1667,1000200,,,,,,,,,,,
opportunity_cadence,0.05,20,1.0,1.0010191846522782,0.6415140775914581,0.63804,834,1000800,,,,,,,,,,,
opportunity_cadence,0.05,40,2.0,1.9983213429256594,0.8714878434348969,0.87068,417,1000800,,,,,,,,,,,
opportunity_cadence,0.05,60,3.0,2.9839328537170267,0.953930201013048,0.9547609047819043,278,1000800,,,,,,,,,,,
opportunity_cadence,0.1,1,0.1,0.1003329933401332,0.09999999999999998,0.099604,16667,1000020,,,,,,,,,,,
opportunity_cadence,0.1,2,0.2,0.20095392368610512,0.18999999999999995,0.1887,8334,1000080,,,,,,,,,,,
opportunity_cadence,0.1,3,0.30000000000000004,0.2988030957523398,0.2709999999999999,0.2707164585670829,5556,1000080,,,,,,,,,,,
opportunity_cadence,0.1,5,0.5,0.4989602079584083,0.40950999999999993,0.41166,3334,1000200,,,,,,,,,,,
opportunity_cadence,0.1,10,1.0,0.9991701659668066,0.6513215599,0.65202,1667,1000200,,,,,,,,,,,
opportunity_cadence,0.1,20,2.0,2.0069144684252596,0.8784233454094307,0.87958,834,1000800,,,,,,,,,,,
opportunity_cadence,0.1,40,4.0,4.001159072741807,0.9852191170585654,0.9862,417,1000800,,,,,,,,,,,
opportunity_cadence,0.1,60,6.0,6.032134292565947,0.9982029897000856,0.998320033599328,278,1000800,,,,,,,,,,,
opportunity_cadence,0.2,1,0.2,0.1997020059598808,0.19999999999999996,0.200379,16667,1000020,,,,,,,,,,,
opportunity_cadence,0.2,2,0.4,0.3983341332693385,0.3599999999999999,0.358912,8334,1000080,,,,,,,,,,,
opportunity_cadence,0.2,3,0.6000000000000001,0.6014158867290617,0.4879999999999999,0.4890740218519563,5556,1000080,,,,,,,,,,,
opportunity_cadence,0.2,5,1.0,0.9984903019396121,0.6723199999999999,0.67163,3334,1000200,,,,,,,,,,,
opportunity_cadence,0.2,10,2.0,2.0016696660667868,0.8926258175999999,0.89373,1667,1000200,,,,,,,,,,,
opportunity_cadence,0.2,20,4.0,3.99828137490008,0.9884707849539315,0.98888,834,1000800,,,,,,,,,,,
opportunity_cadence,0.2,40,8.0,7.996123101518785,0.9998670772004216,0.99972,417,1000800,,,,,,,,,,,
opportunity_cadence,0.2,60,12.0,11.995383693045564,0.9999984675044591,1.0,278,1000800,,,,,,,,,,,
opportunity_cadence,0.4,1,0.4,0.39982600347993036,0.4,0.400583,16667,1000020,,,,,,,,,,,
opportunity_cadence,0.4,2,0.8,0.8006639468842492,0.64,0.640906,8334,1000080,,,,,,,,,,,
opportunity_cadence,0.4,3,1.2000000000000002,1.1996280297576194,0.784,0.7838054323891352,5556,1000080,,,,,,,,,,,
opportunity_cadence,0.4,5,2.0,1.9979454109178163,0.9222400000000001,0.922135,3334,1000200,,,,,,,,,,,
opportunity_cadence,0.4,10,4.0,3.998630273945211,0.9939533824,0.99362,1667,1000200,,,,,,,,,,,
