p_convert,requested_attempts,gate,synthetic_event_family_count,effective_attempts,p_at_least_one_conversion_analytical,p_at_least_one_conversion_simulated
0.01,1,G1_unlimited,,1,0.010000000000000009,0.00994
0.01,1,G2_max_3,,1,0.010000000000000009,0.010124
0.01,1,G3_distinct_event_family,4,1,0.010000000000000009,0.009989
0.01,2,G1_unlimited,,2,0.01990000000000003,0.019917
0.01,2,G2_max_3,,2,0.01990000000000003,0.019987
0.01,2,G3_distinct_event_family,4,2,0.01990000000000003,0.01967
0.01,3,G1_unlimited,,3,0.029700999999999977,0.029694
0.01,3,G2_max_3,,3,0.029700999999999977,0.029527
0.01,3,G3_distinct_event_family,4,3,0.029700999999999977,0.029741
0.01,5,G1_unlimited,,5,0.04900995010000009,0.048537
0.01,5,G2_max_3,,3,0.029700999999999977,0.029487
0.01,5,G3_distinct_event_family,4,4,0.039403990000000055,0.039636
0.01,10,G1_unlimited,,10,0.09561792499119559,0.095921
0.01,10,G2_max_3,,3,0.029700999999999977,0.029313
0.01,10,G3_distinct_event_family,4,4,0.039403990000000055,0.039823
0.01,20,G1_unlimited,,20,0.18209306240276923,0.182321
0.01,20,G2_max_3,,3,0.029700999999999977,0.029655
0.01,20,G3_distinct_event_family,4,4,0.039403990000000055,0.039312
0.01,40,G1_unlimited,,40,0.3310282414303197,0.330853
0.01,40,G2_max_3,,3,0.029700999999999977,0.029808
0.01,40,G3_distinct_event_family,4,4,0.039403990000000055,0.039654
0.05,1,G1_unlimited,,1,0.050000000000000044,0.049978
0.05,1,G2_max_3,,1,0.050000000000000044,0.050153
0.05,1,G3_distinct_event_family,4,1,0.050000000000000044,0.049991
0.05,2,G1_unlimited,,2,0.09750000000000003,0.097469
0.05,2,G2_max_3,,2,0.09750000000000003,0.097628
0.05,2,G3_distinct_event_family,4,2,0.09750000000000003,0.097536
0.05,3,G1_unlimited,,3,0.1426250000000001,0.142599
0.05,3,G2_max_3,,3,0.1426250000000001,0.142498
0.05,3,G3_distinct_event_family,4,3,0.1426250000000001,0.142303
0.05,5,G1_unlimited,,5,0.22621906250000023,0.22622
0.05,5,G2_max_3,,3,0.1426250000000001,0.143222
0.05,5,G3_distinct_event_family,4,4,0.18549375000000012,0.185667
0.05,10,G1_unlimited,,10,0.4012630607616213,0.401294
0.05,10,G2_max_3,,3,0.1426250000000001,0.143077
0.05,10,G3_distinct_event_family,4,4,0.18549375000000012,0.185151
0.05,20,G1_unlimited,,20,0.6415140775914581,0.641402
0.05,20,G2_max_3,,3,0.1426250000000001,0.142537
0.05,20,G3_distinct_event_family,4,4,0.18549375000000012,0.185739
0.05,40,G1_unlimited,,40,0.8714878434348969,0.871081
0.05,40,G2_max_3,,3,0.1426250000000001,0.143097
0.05,40,G3_distinct_event_family,4,4,0.18549375000000012,0.185489
0.1,1,G1_unlimited,,1,0.09999999999999998,0.1
0.1,1,G2_max_3,,1,0.09999999999999998,0.09993
0.1,1,G3_distinct_event_family,4,1,0.09999999999999998,0.100124
0.1,2,G1_unlimited,,2,0.18999999999999995,0.18969
0.1,2,G2_max_3,,2,0.18999999999999995,0.190443
0.1,2,G3_distinct_event_family,4,2,0.18999999999999995,0.189984
0.1,3,G1_unlimited,,3,0.2709999999999999,0.27075
0.1,3,G2_max_3,,3,0.2709999999999999,0.27107
0.1,3,G3_distinct_event_family,4,3,0.2709999999999999,0.271385
0.1,5,G1_unlimited,,5,0.40950999999999993,0.408916
0.1,5,G2_max_3,,3,0.2709999999999999,0.270572
0.1,5,G3_distinct_event_family,4,4,0.3439,0.344723
0.1,10,G1_unlimited,,10,0.6513215599,0.651225
0.1,10,G2_max_3,,3,0.2709999999999999,0.271328
0.1,10,G3_distinct_event_family,4,4,0.3439,0.343636
0.1,20,G1_unlimited,,20,0.8784233454094307,0.878218
0.1,20,G2_max_3,,3,0.2709999999999999,0.270827
0.1,20,G3_distinct_event_family,4,4,0.3439,0.344456
0.1,40,G1_unlimited,,40,0.9852191170585654,0.985274
0.1,40,G2_max_3,,3,0.2709999999999999,0.272139
