sweep_stage,varied_probability,engagement_probability,conversion_probability,contact_probability,hook_probability,engagement_count_analytical,engaged_species_a_count_analytical,engaged_species_b_count_analytical,attack_count_analytical,hooked_count_analytical,engagement_count,engaged_species_a_count,engaged_species_b_count,attack_count,hooked_count
HookCompatibility,0.0,0.2,0.5,0.8,0.0,200000.0,140000.0,60000.0,80000.0,0.0,199849,140186,59663,79874,0
HookCompatibility,0.1,0.2,0.5,0.8,0.1,200000.0,140000.0,60000.0,80000.0,8000.0,199849,140186,59663,79874,8038
HookCompatibility,0.25,0.2,0.5,0.8,0.25,200000.0,140000.0,60000.0,80000.0,20000.0,199849,140186,59663,79874,19860
HookCompatibility,0.5,0.2,0.5,0.8,0.5,200000.0,140000.0,60000.0,80000.0,40000.0,199849,140186,59663,79874,39972
HookCompatibility,0.75,0.2,0.5,0.8,0.75,200000.0,140000.0,60000.0,80000.0,60000.0,199849,140186,59663,79874,59994
HookCompatibility,1.0,0.2,0.5,0.8,1.0,200000.0,140000.0,60000.0,80000.0,80000.0,199849,140186,59663,79874,79874
Conversion,0.0,0.2,0.0,0.8,0.5,200000.0,140000.0,60000.0,0.0,0.0,199849,140186,59663,0,0
Conversion,0.1,0.2,0.1,0.8,0.5,200000.0,140000.0,60000.0,16000.0,8000.0,199849,140186,59663,15967,8019
Conversion,0.25,0.2,0.25,0.8,0.5,200000.0,140000.0,60000.0,40000.0,20000.0,199849,140186,59663,39931,20070
Conversion,0.5,0.2,0.5,0.8,0.5,200000.0,140000.0,60000.0,80000.0,40000.0,199849,140186,59663,79874,39972
Conversion,0.75,0.2,0.75,0.8,0.5,200000.0,140000.0,60000.0,120000.0,60000.0,199849,140186,59663,119942,60065
Conversion,1.0,0.2,1.0,0.8,0.5,200000.0,140000.0,60000.0,160000.0,80000.0,199849,140186,59663,159920,80063
