category_count,per_category_w_over_k,p_any_analytical,p_any_simulated,per_category_absolute_probability
1,0.01,0.009900990099009901,0.009912,0.009900990099009901
1,0.025,0.02439024390243903,0.024283,0.02439024390243903
1,0.05,0.047619047619047616,0.047533,0.047619047619047616
1,0.1,0.09090909090909091,0.090571,0.09090909090909091
1,0.25,0.2,0.200091,0.2
1,0.5,0.3333333333333333,0.334028,0.3333333333333333
2,0.01,0.0196078431372549,0.019599,0.00980392156862745
2,0.025,0.047619047619047616,0.047941,0.023809523809523808
2,0.05,0.09090909090909091,0.09126,0.045454545454545456
2,0.1,0.16666666666666669,0.167495,0.08333333333333334
2,0.25,0.3333333333333333,0.333606,0.16666666666666666
2,0.5,0.5,0.498993,0.25
3,0.01,0.029126213592233007,0.029407,0.009708737864077669
3,0.025,0.06976744186046513,0.069742,0.023255813953488375
3,0.05,0.13043478260869568,0.130387,0.04347826086956522
3,0.1,0.23076923076923078,0.23065,0.07692307692307693
3,0.25,0.42857142857142855,0.429165,0.14285714285714285
3,0.5,0.6,0.600102,0.19999999999999998
5,0.01,0.047619047619047616,0.047622,0.009523809523809523
5,0.025,0.1111111111111111,0.110372,0.02222222222222222
5,0.05,0.2,0.199199,0.04
5,0.1,0.3333333333333333,0.333398,0.06666666666666667
5,0.25,0.5555555555555556,0.556491,0.11111111111111112
5,0.5,0.7142857142857143,0.714379,0.14285714285714285
10,0.01,0.09090909090909091,0.091353,0.00909090909090909
10,0.025,0.2,0.199801,0.02
10,0.05,0.3333333333333333,0.332927,0.03333333333333333
10,0.1,0.5,0.500392,0.05
10,0.25,0.7142857142857143,0.714451,0.07142857142857142
10,0.5,0.8333333333333334,0.833601,0.08333333333333334
20,0.01,0.16666666666666669,0.167508,0.008333333333333335
20,0.025,0.3333333333333333,0.333651,0.016666666666666666
20,0.05,0.5,0.499517,0.025
20,0.1,0.6666666666666666,0.667356,0.03333333333333333
20,0.25,0.8333333333333334,0.833437,0.04166666666666667
20,0.5,0.9090909090909091,0.908971,0.045454545454545456
28,0.01,0.21875000000000003,0.219088,0.007812500000000002
28,0.025,0.4117647058823529,0.412063,0.014705882352941176
28,0.05,0.5833333333333333,0.583324,0.020833333333333332
28,0.1,0.736842105263158,0.737174,0.026315789473684213
28,0.25,0.875,0.875219,0.03125
28,0.5,0.9333333333333333,0.93322,0.03333333333333333
50,0.01,0.3333333333333333,0.333168,0.006666666666666666
50,0.025,0.5555555555555556,0.55562,0.011111111111111112
50,0.05,0.7142857142857143,0.713799,0.014285714285714285
50,0.1,0.8333333333333334,0.833387,0.016666666666666666
50,0.25,0.9259259259259259,0.925777,0.018518518518518517
50,0.5,0.9615384615384616,0.961414,0.019230769230769232
100,0.01,0.5,0.49956,0.005
100,0.025,0.7142857142857143,0.713923,0.007142857142857143
100,0.05,0.8333333333333334,0.833495,0.008333333333333333
100,0.1,0.9090909090909091,0.908693,0.00909090909090909
100,0.25,0.9615384615384616,0.961464,0.009615384615384616
100,0.5,0.9803921568627451,0.98023,0.00980392156862745
