grade_map,k_ratio,direction,varied_grade,fixed_category,p_any_analytical,p_any_simulated,a_probability_analytical,a_probability_simulated,b_probability_analytical,b_probability_simulated,fixed_probability_baseline,fixed_probability_pct_change
Compressed,0.25,vary_A,NONE,B,0.375,0.374545,0.0,0.0,0.375,0.374545,0.16666666666666669,124.99999999999996
Compressed,0.25,vary_A,LOW,B,0.6428571428571429,0.642902,0.4285714285714286,0.428221,0.2142857142857143,0.214681,0.16666666666666669,28.57142857142856
Compressed,0.25,vary_A,NORMAL,B,0.7222222222222222,0.722524,0.5555555555555556,0.555505,0.16666666666666669,0.167019,0.16666666666666669,0.0
Compressed,0.25,vary_A,HIGH,B,0.782608695652174,0.782886,0.6521739130434783,0.652396,0.13043478260869568,0.13049,0.16666666666666669,-21.739130434782606
Compressed,0.25,vary_A,VERY_HIGH,B,0.8214285714285714,0.821322,0.7142857142857143,0.714199,0.10714285714285714,0.107123,0.16666666666666669,-35.71428571428572
Compressed,0.25,vary_B,NONE,A,0.6666666666666666,0.66678,0.6666666666666665,0.66678,0.0,0.0,0.5555555555555556,19.99999999999997
Compressed,0.25,vary_B,LOW,A,0.691358024691358,0.69203,0.6172839506172839,0.617731,0.07407407407407407,0.074299,0.5555555555555556,11.111111111111093
Compressed,0.25,vary_B,NORMAL,A,0.7058823529411765,0.706192,0.5882352941176471,0.588896,0.11764705882352941,0.117296,0.5555555555555556,5.882352941176472
Compressed,0.25,vary_B,HIGH,A,0.7222222222222222,0.722335,0.5555555555555556,0.556029,0.16666666666666669,0.166306,0.5555555555555556,0.0
Compressed,0.25,vary_B,VERY_HIGH,A,0.7368421052631579,0.736919,0.5263157894736842,0.526115,0.21052631578947367,0.210804,0.5555555555555556,-5.263157894736848
Compressed,0.5,vary_A,NONE,B,0.23076923076923078,0.230978,0.0,0.0,0.23076923076923078,0.230978,0.13043478260869562,76.92307692307698
Compressed,0.5,vary_A,LOW,B,0.47368421052631576,0.474381,0.3157894736842105,0.31619,0.15789473684210525,0.158191,0.13043478260869562,21.05263157894739
Compressed,0.5,vary_A,NORMAL,B,0.5652173913043478,0.564832,0.4347826086956521,0.434313,0.13043478260869562,0.130519,0.13043478260869562,0.0
Compressed,0.5,vary_A,HIGH,B,0.6428571428571429,0.643341,0.5357142857142857,0.53616,0.10714285714285715,0.107181,0.13043478260869562,-17.857142857142826
Compressed,0.5,vary_A,VERY_HIGH,B,0.696969696969697,0.697387,0.6060606060606061,0.606323,0.09090909090909093,0.091064,0.13043478260869562,-30.303030303030276
Compressed,0.5,vary_B,NONE,A,0.5,0.499562,0.5,0.499562,0.0,0.0,0.4347826086956521,15.000000000000014
Compressed,0.5,vary_B,LOW,A,0.5283018867924528,0.527295,0.4716981132075471,0.471129,0.05660377358490566,0.056166,0.4347826086956521,8.490566037735858
Compressed,0.5,vary_B,NORMAL,A,0.5454545454545454,0.544429,0.45454545454545453,0.454187,0.0909090909090909,0.090242,0.4347826086956521,4.545454545454564
Compressed,0.5,vary_B,HIGH,A,0.5652173913043478,0.564726,0.4347826086956521,0.433934,0.13043478260869562,0.130792,0.4347826086956521,0.0
Compressed,0.5,vary_B,VERY_HIGH,A,0.5833333333333334,0.58443,0.4166666666666667,0.41792,0.16666666666666669,0.16651,0.4347826086956521,-4.166666666666652
Compressed,1.0,vary_A,NONE,B,0.13043478260869565,0.131283,0.0,0.0,0.13043478260869565,0.131283,0.09090909090909091,43.47826086956521
Compressed,1.0,vary_A,LOW,B,0.3103448275862069,0.310191,0.20689655172413793,0.206807,0.10344827586206896,0.103384,0.09090909090909091,13.793103448275868
Compressed,1.0,vary_A,NORMAL,B,0.3939393939393939,0.393456,0.30303030303030304,0.302629,0.09090909090909091,0.090827,0.09090909090909091,0.0
Compressed,1.0,vary_A,HIGH,B,0.47368421052631576,0.474487,0.3947368421052631,0.395064,0.07894736842105263,0.079423,0.09090909090909091,-13.157894736842113
Compressed,1.0,vary_A,VERY_HIGH,B,0.5348837209302325,0.535876,0.46511627906976744,0.46613,0.06976744186046512,0.069746,0.09090909090909091,-23.25581395348838
Compressed,1.0,vary_B,NONE,A,0.3333333333333333,0.333113,0.33333333333333326,0.333113,0.0,0.0,0.30303030303030304,9.999999999999964
Compressed,1.0,vary_B,LOW,A,0.358974358974359,0.358558,0.32051282051282054,0.320183,0.038461538461538464,0.038375,0.30303030303030304,5.769230769230771
Compressed,1.0,vary_B,NORMAL,A,0.375,0.374625,0.3125,0.311829,0.0625,0.062796,0.30303030303030304,3.125
