record_type,grade_map,k_ratio,grade,input_value,input_unit,analytical_value,simulated_value,metric,reopen_signal
engagement_saturation,Compressed,0.25,NORMAL,0.0,W_over_reference_exposure,0.0,0.0,P_any,
engagement_saturation,Compressed,0.25,NORMAL,0.01,W_over_reference_exposure,0.038461538461538464,0.038535,P_any,
engagement_saturation,Compressed,0.25,NORMAL,0.025,W_over_reference_exposure,0.09090909090909091,0.090396,P_any,
engagement_saturation,Compressed,0.25,NORMAL,0.05,W_over_reference_exposure,0.16666666666666666,0.166753,P_any,
engagement_saturation,Compressed,0.25,NORMAL,0.1,W_over_reference_exposure,0.2857142857142857,0.286018,P_any,
engagement_saturation,Compressed,0.25,NORMAL,0.25,W_over_reference_exposure,0.5,0.499012,P_any,
engagement_saturation,Compressed,0.25,NORMAL,0.5,W_over_reference_exposure,0.6666666666666666,0.665763,P_any,
engagement_saturation,Compressed,0.25,NORMAL,1.0,W_over_reference_exposure,0.8,0.799668,P_any,
engagement_saturation,Compressed,0.25,NORMAL,2.0,W_over_reference_exposure,0.8888888888888888,0.88901,P_any,
engagement_saturation,Compressed,0.25,NORMAL,4.0,W_over_reference_exposure,0.9411764705882353,0.940787,P_any,
engagement_saturation,Compressed,0.25,NORMAL,8.0,W_over_reference_exposure,0.9696969696969697,0.969575,P_any,
engagement_saturation,Compressed,0.25,NORMAL,16.0,W_over_reference_exposure,0.9846153846153847,0.984699,P_any,
grade_map_sensitivity,Compressed,0.25,NONE,100000.0,exposure,0.0,0.0,P_any,
grade_map_sensitivity,Compressed,0.25,LOW,100000.0,exposure,0.7058823529411765,0.705773,P_any,
grade_map_sensitivity,Compressed,0.25,NORMAL,100000.0,exposure,0.8,0.799321,P_any,
grade_map_sensitivity,Compressed,0.25,HIGH,100000.0,exposure,0.8571428571428571,0.856453,P_any,
grade_map_sensitivity,Compressed,0.25,VERY_HIGH,100000.0,exposure,0.8888888888888888,0.888897,P_any,
engagement_saturation,Compressed,0.5,NORMAL,0.0,W_over_reference_exposure,0.0,0.0,P_any,
engagement_saturation,Compressed,0.5,NORMAL,0.01,W_over_reference_exposure,0.0196078431372549,0.01963,P_any,
engagement_saturation,Compressed,0.5,NORMAL,0.025,W_over_reference_exposure,0.047619047619047616,0.047615,P_any,
