mode,k,fixture,snapshot,cell_id,contributors,ordinary,active_spawning,guard,relative_error,composition,ops
expanded,8,P1_spawn_center,NON_SPAWN,19095:0,"[{""source_id"": ""DROP_01"", ""source_type"": ""DROP_OFF"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}, {""source_id"": ""SPAWN_BED_03"", ""source_type"": ""SPAWN_BED"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}, {""source_id"": ""OPEN_FLAT_22"", ""source_type"": ""OPEN_FLAT"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}]",145000.0,0.0,0.0,0.0,"{""ORDINARY_NORMAL"": 1.0, ""ACTIVE_SPAWNING"": 0.0, ""GUARD"": 0.0}",18
expanded,8,P1_spawn_center,ACTIVE_SPAWNING,19095:0,"[{""source_id"": ""DROP_01"", ""source_type"": ""DROP_OFF"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}, {""source_id"": ""SPAWN_BED_03"", ""source_type"": ""SPAWN_BED"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}, {""source_id"": ""OPEN_FLAT_22"", ""source_type"": ""OPEN_FLAT"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}]",0.0,150000.0,0.0,0.0,"{""ORDINARY_NORMAL"": 0.0, ""ACTIVE_SPAWNING"": 1.0, ""GUARD"": 0.0}",18
expanded,8,P1_spawn_center,GUARDING,19095:0,"[{""source_id"": ""DROP_01"", ""source_type"": ""DROP_OFF"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}, {""source_id"": ""SPAWN_BED_03"", ""source_type"": ""SPAWN_BED"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}, {""source_id"": ""OPEN_FLAT_22"", ""source_type"": ""OPEN_FLAT"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}]",0.0,0.0,140000.0,0.0,"{""ORDINARY_NORMAL"": 0.0, ""ACTIVE_SPAWNING"": 0.0, ""GUARD"": 1.0}",18
expanded,8,P2_spawn_edge_plus1,NON_SPAWN,19106:0,"[{""source_id"": ""DROP_01"", ""source_type"": ""DROP_OFF"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}, {""source_id"": ""SPAWN_BED_03"", ""source_type"": ""SPAWN_BED"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 1.0}, {""source_id"": ""OPEN_FLAT_22"", ""source_type"": ""OPEN_FLAT"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}]",145000.0,0.0,0.0,0.0,"{""ORDINARY_NORMAL"": 1.0, ""ACTIVE_SPAWNING"": 0.0, ""GUARD"": 0.0}",18
expanded,8,P2_spawn_edge_plus1,ACTIVE_SPAWNING,19106:0,"[{""source_id"": ""DROP_01"", ""source_type"": ""DROP_OFF"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}, {""source_id"": ""SPAWN_BED_03"", ""source_type"": ""SPAWN_BED"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 1.0}, {""source_id"": ""OPEN_FLAT_22"", ""source_type"": ""OPEN_FLAT"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}]",0.0,150000.0,0.0,0.0,"{""ORDINARY_NORMAL"": 0.0, ""ACTIVE_SPAWNING"": 1.0, ""GUARD"": 0.0}",18
expanded,8,P2_spawn_edge_plus1,GUARDING,19106:0,"[{""source_id"": ""DROP_01"", ""source_type"": ""DROP_OFF"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}, {""source_id"": ""SPAWN_BED_03"", ""source_type"": ""SPAWN_BED"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 1.0}, {""source_id"": ""OPEN_FLAT_22"", ""source_type"": ""OPEN_FLAT"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}]",0.0,0.0,140000.0,0.0,"{""ORDINARY_NORMAL"": 0.0, ""ACTIVE_SPAWNING"": 0.0, ""GUARD"": 1.0}",18
expanded,8,P3_spawn_3m,NON_SPAWN,19108:0,"[{""source_id"": ""DROP_01"", ""source_type"": ""DROP_OFF"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}, {""source_id"": ""SPAWN_BED_03"", ""source_type"": ""SPAWN_BED"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 3.0}, {""source_id"": ""OPEN_FLAT_22"", ""source_type"": ""OPEN_FLAT"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}]",145000.0,0.0,0.0,0.0,"{""ORDINARY_NORMAL"": 1.0, ""ACTIVE_SPAWNING"": 0.0, ""GUARD"": 0.0}",18
expanded,8,P3_spawn_3m,ACTIVE_SPAWNING,19108:0,"[{""source_id"": ""DROP_01"", ""source_type"": ""DROP_OFF"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}, {""source_id"": ""SPAWN_BED_03"", ""source_type"": ""SPAWN_BED"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 3.0}, {""source_id"": ""OPEN_FLAT_22"", ""source_type"": ""OPEN_FLAT"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}]",0.0,150000.0,0.0,0.0,"{""ORDINARY_NORMAL"": 0.0, ""ACTIVE_SPAWNING"": 1.0, ""GUARD"": 0.0}",18
expanded,8,P3_spawn_3m,GUARDING,19108:0,"[{""source_id"": ""DROP_01"", ""source_type"": ""DROP_OFF"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}, {""source_id"": ""SPAWN_BED_03"", ""source_type"": ""SPAWN_BED"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 3.0}, {""source_id"": ""OPEN_FLAT_22"", ""source_type"": ""OPEN_FLAT"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}]",0.0,0.0,140000.0,0.0,"{""ORDINARY_NORMAL"": 0.0, ""ACTIVE_SPAWNING"": 0.0, ""GUARD"": 1.0}",18
expanded,8,P4_spawn_7m,NON_SPAWN,19112:0,"[{""source_id"": ""DROP_01"", ""source_type"": ""DROP_OFF"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}, {""source_id"": ""OPEN_FLAT_22"", ""source_type"": ""OPEN_FLAT"", ""relation"": ""NEAR"", ""reach"": 1.0, ""distance_m"": 0.0}]",125000.0,0.0,0.0,0.0,"{""ORDINARY_NORMAL"": 1.0, ""ACTIVE_SPAWNING"": 0.0, ""GUARD"": 0.0}",12
