binding_id,surface,subject,template_id,status
C01_B,BAKE,AtlanticCod.Normal,S_FIXED,DEMO_WORKING
C02_B,BAKE,ChannelCatfish.Normal,S_FIXED,DEMO_WORKING
C05_B,BAKE,Walleye.Normal,S_FIXED,DEMO_WORKING
C03_R,RESPONSE,RainbowTrout.Normal,R_BANDS,DEMO_WORKING
C04_R,RESPONSE,BrownTrout.Normal,R_BANDS,DEMO_WORKING
C06_R,RESPONSE,Bluegill.Guarding,R_DEFENSE,DEMO_WORKING
C07_R,RESPONSE,Smallmouth.Parental,R_DEFENSE,DEMO_WORKING
C08_R,RESPONSE,Tilapia.Feeding,R_DUAL_FIXED,DEMO_WORKING
C09_R,RESPONSE,Paddlefish.FieldFeeding,R_FIELD,DEMO_WORKING
C10_R,RESPONSE,BigmouthBuffalo.FieldFeeding,R_FIELD,DEMO_WORKING
C11_R,RESPONSE,Mullet.FieldFeeding,R_FIELD,DEMO_WORKING
C12_N,RESPONSE,AtlanticSalmon.NormalFeeding,R_FEED,DEMO_WORKING
C12_M,RESPONSE,AtlanticSalmon.FreshwaterSpawningMigration,R_REACTION,DEMO_WORKING
C13_J,RESPONSE,Sockeye.JuvenileSuspended,R_FEED,SCENARIO_ONLY_NOT_PRODUCTION
C13_O,RESPONSE,Sockeye.OceanFeedingAdult,R_FEED,SCENARIO_ONLY_NOT_PRODUCTION
C13_S,RESPONSE,Sockeye.FreshwaterSpawningAdult,R_FEED,SCENARIO_ONLY_NOT_PRODUCTION
BASS_G,GROUP,LargemouthBass,G_SHARES,DEMO_WORKING
G1,GROUP,G1_GuardNormal,G_SHARES,DEMO_WORKING
G2,GROUP,G2_GuardNormal,G_SHARES,DEMO_WORKING
G3,GROUP,SyntheticSeasonGroup,G_SHARES,SYNTHETIC_STRESS_ONLY
BASS_N_B,BAKE,LargemouthBass.NormalFeeding,S_FIXED,DEMO_WORKING
BASS_G_B,BAKE,LargemouthBass.Guarding,S_FIXED,DEMO_WORKING
BASS_C_B,BAKE,LargemouthBass.ColdSlow,S_COLD,DEMO_WORKING
BASS_S_B,BAKE,LargemouthBass.SummerStress,S_SUMMER,DEMO_WORKING
BASS_F_B,BAKE,LargemouthBass.ForageChase,S_FORAGE,DEMO_WORKING
BASS_N_R,RESPONSE,LargemouthBass.NormalFeeding,R_FEED,DEMO_WORKING
BASS_F_R,RESPONSE,LargemouthBass.ForageChase,R_FEED,DEMO_WORKING
BASS_G_R,RESPONSE,LargemouthBass.Guarding,R_DEFENSE,DEMO_WORKING
BASS_C_R,RESPONSE,LargemouthBass.ColdSlow,R_FEED_REACTION,DEMO_WORKING
BASS_S_R,RESPONSE,LargemouthBass.SummerStress,R_FEED_REACTION,DEMO_WORKING
BASS_N_Q,QUALITY,LargemouthBass.NormalFeeding,Q_PARALLEL,DEMO_WORKING
BASS_G_Q,QUALITY,LargemouthBass.Guarding,Q_PARALLEL,DEMO_WORKING
BASS_C_Q,QUALITY,LargemouthBass.ColdSlow,Q_PARALLEL,DEMO_WORKING
BASS_S_Q,QUALITY,LargemouthBass.SummerStress,Q_PARALLEL,DEMO_WORKING
BASS_F_Q,QUALITY,LargemouthBass.ForageChase,Q_PARALLEL,DEMO_WORKING
Q1,QUALITY,IllustrativeQuality,Q_PARALLEL,DEMO_WORKING
Q2,QUALITY,IllustrativeQuality,Q_PARALLEL,DEMO_WORKING
Q3,QUALITY,IllustrativeQuality,Q_PARALLEL,DEMO_WORKING
