profile_id,x,y
C01_B_Temperature,0,0.2
C01_B_Temperature,10,1
C01_B_Temperature,20,0.2
C01_B_Structure,0,1
C01_B_Structure,100,0.2
C01_B_Depth,0,0.1
C01_B_Depth,20,1
C01_B_Depth,60,0.3
C02_B_Temperature,5,0.2
C02_B_Temperature,25,1
C02_B_Temperature,35,0.3
C02_B_Structure,0,1
C02_B_Structure,100,0.4
C02_B_Depth,0,0.2
C02_B_Depth,3,1
C02_B_Depth,15,0.3
C05_B_Temperature,0,0.2
C05_B_Temperature,15,1
C05_B_Temperature,30,0.1
C05_B_Structure,0,1
C05_B_Structure,100,0.2
C05_B_Depth,0,0.2
C05_B_Depth,8,1
C05_B_Depth,25,0.4
C05_B_Light,0,1
C05_B_Light,100,0.8
C05_B_Light,1000,0.2
C06_R_Defense,0,0
C06_R_Defense,0.5,0.6
C06_R_Defense,1,0.9
C07_R_Defense,0,0
C07_R_Defense,0.5,0.7
C07_R_Defense,1,1
C08_R_Grazing,0,0
C08_R_Grazing,1,0.8
C08_R_Suspended,0,0
C08_R_Suspended,1,0.9
C09_R_Density,0,0
C09_R_Density,1,0.8
C09_R_Suitability,0,0
C09_R_Suitability,1,1
C09_R_Match,0,0
C09_R_Match,1,1
C10_R_Density,0,0
C10_R_Density,1,0.8
C10_R_Suitability,0,0
C10_R_Suitability,1,1
C10_R_Match,0,0
C10_R_Match,1,1
C11_R_Density,0,0
C11_R_Density,1,0.8
C11_R_Suitability,0,0
C11_R_Suitability,1,1
C11_R_Match,0,0
C11_R_Match,1,1
C12_N_Match,0,0
C12_N_Match,1,1
C12_N_Presentation,0,0
C12_N_Presentation,1,1
C12_M_Salience,0,0
C12_M_Salience,1,0.5
C12_M_Pursuit,0,1
C12_M_Pursuit,1,0.1
C13_J_Match,0,0
C13_J_Match,1,0.8
C13_J_Presentation,0,0
C13_J_Presentation,1,1
C13_O_Match,0,0
C13_O_Match,1,1
C13_O_Presentation,0,0
C13_O_Presentation,1,1
C13_S_Match,0,0
C13_S_Match,1,0
C13_S_Presentation,0,0
C13_S_Presentation,1,1
BassColdShare,0,0
BassColdShare,1,0.3
BassSummerShare,0,0
BassSummerShare,1,0.4
BassForageShare,0,0
BassForageShare,1,0.2
BASS_N_B_Temperature,0,0.1
BASS_N_B_Temperature,20,1
BASS_N_B_Temperature,35,0.2
BASS_N_B_Structure,0,1
BASS_N_B_Structure,100,0.2
BASS_N_B_Depth,0,0.2
BASS_N_B_Depth,3,1
BASS_N_B_Depth,15,0.3
BASS_G_B_Temperature,0,0.1
BASS_G_B_Temperature,20,1
BASS_G_B_Temperature,35,0.2
BASS_G_B_Structure,0,1
BASS_G_B_Structure,10,0.2
BASS_G_B_Depth,0,0.2
BASS_G_B_Depth,3,1
BASS_G_B_Depth,15,0.3
BASS_N_B_Cover,0,1
BASS_N_B_Cover,100,0
BASS_N_B_Deep,0,0
BASS_N_B_Deep,1,1
BASS_C_B_Warmth,0,0
BASS_C_B_Warmth,1,1
BASS_C_B_Stability,0,0
BASS_C_B_Stability,1,1
BASS_C_B_Refuge,0,0
BASS_C_B_Refuge,1,1
BASS_S_B_Cooling,0,0
BASS_S_B_Cooling,1,1
BASS_S_B_Oxygen,0,0
BASS_S_B_Oxygen,1,1
BASS_S_B_Tradeoff,0,0
BASS_S_B_Tradeoff,1,1
BASS_F_B_Forage,0,0
BASS_F_B_Forage,1,1
BASS_F_B_Vertical,0,0
BASS_F_B_Vertical,1,1
BASS_F_B_OpenWater,0,0
BASS_F_B_OpenWater,1,1
BASS_F_B_Temperature,0,0.1
BASS_F_B_Temperature,20,1
BASS_F_B_Temperature,35,0.2
BASS_F_B_Oxygen,0,0
BASS_F_B_Oxygen,5,1
BASS_F_B_Oxygen,10,1
BASS_F_B_Cover,0,1
BASS_F_B_Cover,100,0
BASS_F_B_Deep,0,0
BASS_F_B_Deep,1,1
BASS_N_R_Match,0,0
BASS_N_R_Match,1,1
BASS_N_R_Presentation,0,0
BASS_N_R_Presentation,1,1
BASS_F_R_Match,0,0
BASS_F_R_Match,1,0.95
BASS_F_R_Presentation,0,0
BASS_F_R_Presentation,1,1
BASS_N_R_Familiarity,0,1
BASS_N_R_Familiarity,1,0.5
BASS_F_R_Familiarity,0,1
BASS_F_R_Familiarity,1,0.5
BASS_G_R_Defense,0,0
BASS_G_R_Defense,1,1
BASS_C_R_Match,0,0
BASS_C_R_Match,1,0.25
BASS_C_R_Presentation,0,0
BASS_C_R_Presentation,1,1
BASS_C_R_Salience,0,0
BASS_C_R_Salience,1,0.8
BASS_C_R_Pursuit,0,1
BASS_C_R_Pursuit,1,0.1
BASS_S_R_Match,0,0
BASS_S_R_Match,1,0.35
BASS_S_R_Presentation,0,0
BASS_S_R_Presentation,1,1
BASS_S_R_Salience,0,0
BASS_S_R_Salience,1,0.7
BASS_S_R_Pursuit,0,1
BASS_S_R_Pursuit,1,0.1
