parameter_id,type,value,unit
C01_B_Anchor,string,stable_cover,category
C02_B_Anchor,string,stable_cover,category
C05_B_Anchor,string,stable_cover,category
C03_R_Default,number,0,1
C03_good_match_value,number,0.7,1
C03_drift_value,number,0.6,1
C03_some_match_value,number,0.3,1
C04_R_Default,number,0,1
C04_good_match_value,number,0.7,1
C04_some_match_value,number,0.3,1
guard_dates_value,range<number>,"[100,160]",day_of_year
guard_temp_value,number,15,°C
guard_nest_value,set<string>,"[""nest_cover""]",1
cold_any_value,number,0,1
summer_any_value,number,0,1
forage_state_value,bool,True,1
forage_available_value,number,0,1
BassGuardShare,number,0.2,1
g3_spring_date_value,range<number>,"[80,130]",day_of_year
g3_warm_value,number,12,°C
g3_fall_date_value,range<number>,"[250,290]",day_of_year
g3_cool_value,number,18,°C
G3Share,number,0.25,1
BASS_N_B_Anchor,string,stable_cover,category
BASS_G_B_Anchor,string,nest_site,category
BASS_S_B_OxygenMin,number,3,mg/L
BASS_F_B_ForageMin,number,0.2,1
q_hook_value,number,3,1
q_bait_value,number,8,cm
q_inactive_value,set<string>,"[""inactive""]",1
q_cold_value,number,8,°C
q_night_value,set<string>,"[""night""]",1
