node_id,kind,field,operator,parameter_id
C03_good_match,ATOM,response.feeding_match,GE,C03_good_match_value
C03_drift,ATOM,response.natural_drift_fit,GE,C03_drift_value
C03_high,ALL,N/A,N/A,N/A
C03_some_match,ATOM,response.feeding_match,GE,C03_some_match_value
C04_good_match,ATOM,response.feeding_match,GE,C04_good_match_value
C04_some_match,ATOM,response.feeding_match,GE,C04_some_match_value
guard_dates,ATOM,slow.day_of_year,BETWEEN,guard_dates_value
guard_temp,ATOM,slow.recent5day_temp_c,GE,guard_temp_value
guard_nest,ATOM,slow.scene_structures,CONTAINS_ANY,guard_nest_value
guard_all,ALL,N/A,N/A,N/A
cold_any,ATOM,slow.cold_severity,GT,cold_any_value
summer_any,ATOM,slow.oxythermal_compression,GT,summer_any_value
forage_state,ATOM,slow.pelagic_forage_state,EQ,forage_state_value
forage_available,ATOM,slow.open_water_forage_availability,GT,forage_available_value
forage_all,ALL,N/A,N/A,N/A
g3_spring_date,ATOM,slow.day_of_year,BETWEEN,g3_spring_date_value
g3_warm,ATOM,slow.recent5day_temp_c,GE,g3_warm_value
g3_spring,ALL,N/A,N/A,N/A
g3_fall_date,ATOM,slow.day_of_year,BETWEEN,g3_fall_date_value
g3_cool,ATOM,slow.recent5day_temp_c,LE,g3_cool_value
g3_fall,ALL,N/A,N/A,N/A
g3_either,ANY,N/A,N/A,N/A
q_hook,ATOM,gear.hook_size_index,GE,q_hook_value
q_bait,ATOM,gear.bait_size_cm,GE,q_bait_value
q_big_gear,ALL,N/A,N/A,N/A
q_inactive,ATOM,quality_context.time_band,IN,q_inactive_value
q_cold,ATOM,quality_context.water_temp_c,LE,q_cold_value
q_night,ATOM,quality_context.time_band,IN,q_night_value
q_coldnight,ALL,N/A,N/A,N/A
