binding_id,rule_id,predicate_id,bucket,multiplier
BASS_N_Q,BigGear,q_big_gear,Large,1.5
BASS_N_Q,BigGear,q_big_gear,Rare,1.2
BASS_N_Q,LowActivity,q_inactive,Small,1.2
BASS_N_Q,LowActivity,q_inactive,Medium,1.2
BASS_N_Q,LowActivity,q_inactive,Large,0.7
BASS_N_Q,LowActivity,q_inactive,Rare,0.7
BASS_N_Q,ColdNight,q_coldnight,Large,0.8
BASS_N_Q,ColdNight,q_coldnight,Rare,0.8
BASS_G_Q,BigGear,q_big_gear,Large,1.5
BASS_G_Q,BigGear,q_big_gear,Rare,1.2
BASS_G_Q,LowActivity,q_inactive,Small,1.2
BASS_G_Q,LowActivity,q_inactive,Medium,1.2
BASS_G_Q,LowActivity,q_inactive,Large,0.7
BASS_G_Q,LowActivity,q_inactive,Rare,0.7
BASS_G_Q,ColdNight,q_coldnight,Large,0.8
BASS_G_Q,ColdNight,q_coldnight,Rare,0.8
BASS_C_Q,BigGear,q_big_gear,Large,1.5
BASS_C_Q,BigGear,q_big_gear,Rare,1.2
BASS_C_Q,LowActivity,q_inactive,Small,1.2
BASS_C_Q,LowActivity,q_inactive,Medium,1.2
BASS_C_Q,LowActivity,q_inactive,Large,0.7
BASS_C_Q,LowActivity,q_inactive,Rare,0.7
BASS_C_Q,ColdNight,q_coldnight,Large,0.8
BASS_C_Q,ColdNight,q_coldnight,Rare,0.8
BASS_S_Q,BigGear,q_big_gear,Large,1.5
BASS_S_Q,BigGear,q_big_gear,Rare,1.2
BASS_S_Q,LowActivity,q_inactive,Small,1.2
BASS_S_Q,LowActivity,q_inactive,Medium,1.2
BASS_S_Q,LowActivity,q_inactive,Large,0.7
BASS_S_Q,LowActivity,q_inactive,Rare,0.7
BASS_S_Q,ColdNight,q_coldnight,Large,0.8
BASS_S_Q,ColdNight,q_coldnight,Rare,0.8
BASS_F_Q,BigGear,q_big_gear,Large,1.5
BASS_F_Q,BigGear,q_big_gear,Rare,1.2
BASS_F_Q,LowActivity,q_inactive,Small,1.2
BASS_F_Q,LowActivity,q_inactive,Medium,1.2
BASS_F_Q,LowActivity,q_inactive,Large,0.7
BASS_F_Q,LowActivity,q_inactive,Rare,0.7
BASS_F_Q,ColdNight,q_coldnight,Large,0.8
BASS_F_Q,ColdNight,q_coldnight,Rare,0.8
Q1,BigGear,q_big_gear,Large,1.5
Q1,BigGear,q_big_gear,Rare,1.2
Q1,LowActivity,q_inactive,Small,1.2
Q1,LowActivity,q_inactive,Medium,1.2
Q1,LowActivity,q_inactive,Large,0.7
Q1,LowActivity,q_inactive,Rare,0.7
Q1,ColdNight,q_coldnight,Large,0.8
Q1,ColdNight,q_coldnight,Rare,0.8
Q2,BigGear,q_big_gear,Large,1.5
Q2,BigGear,q_big_gear,Rare,1.2
Q2,LowActivity,q_inactive,Small,1.2
Q2,LowActivity,q_inactive,Medium,1.2
Q2,LowActivity,q_inactive,Large,0.7
Q2,LowActivity,q_inactive,Rare,0.7
Q2,ColdNight,q_coldnight,Large,0.8
Q2,ColdNight,q_coldnight,Rare,0.8
Q3,BigGear,q_big_gear,Large,1.5
Q3,BigGear,q_big_gear,Rare,1.2
Q3,LowActivity,q_inactive,Small,1.2
Q3,LowActivity,q_inactive,Medium,1.2
Q3,LowActivity,q_inactive,Large,0.7
Q3,LowActivity,q_inactive,Rare,0.7
Q3,ColdNight,q_coldnight,Large,0.8
Q3,ColdNight,q_coldnight,Rare,0.8
