binding_id,bucket,base_weight
BASS_N_Q,Small,50
BASS_N_Q,Medium,30
BASS_N_Q,Large,15
BASS_N_Q,Rare,5
BASS_G_Q,Small,20
BASS_G_Q,Medium,40
BASS_G_Q,Large,30
BASS_G_Q,Rare,10
BASS_C_Q,Small,55
BASS_C_Q,Medium,30
BASS_C_Q,Large,12
BASS_C_Q,Rare,3
BASS_S_Q,Small,50
BASS_S_Q,Medium,35
BASS_S_Q,Large,12
BASS_S_Q,Rare,3
BASS_F_Q,Small,25
BASS_F_Q,Medium,50
BASS_F_Q,Large,20
BASS_F_Q,Rare,5
Q1,Small,50
Q1,Medium,30
Q1,Large,15
Q1,Rare,5
Q2,Small,50
Q2,Medium,30
Q2,Large,15
Q2,Rare,5
Q3,Small,50
Q3,Medium,30
Q3,Large,15
Q3,Rare,5
