binding_id,slot,enabled,ref_kind,ref_id
C01_B,Temperature,True,PROFILE,C01_B_Temperature
C01_B,Anchor,True,PARAMETER,C01_B_Anchor
C01_B,Structure,True,PROFILE,C01_B_Structure
C01_B,Depth,True,PROFILE,C01_B_Depth
C01_B,Light,False,PROFILE,N/A
C01_B,ColdFront,False,SWITCH,N/A
C01_B,Cover,False,PROFILE,N/A
C01_B,Deep,False,PROFILE,N/A
C02_B,Temperature,True,PROFILE,C02_B_Temperature
C02_B,Anchor,True,PARAMETER,C02_B_Anchor
C02_B,Structure,True,PROFILE,C02_B_Structure
C02_B,Depth,True,PROFILE,C02_B_Depth
C02_B,Light,False,PROFILE,N/A
C02_B,ColdFront,False,SWITCH,N/A
C02_B,Cover,False,PROFILE,N/A
C02_B,Deep,False,PROFILE,N/A
C05_B,Temperature,True,PROFILE,C05_B_Temperature
C05_B,Anchor,True,PARAMETER,C05_B_Anchor
C05_B,Structure,True,PROFILE,C05_B_Structure
C05_B,Depth,True,PROFILE,C05_B_Depth
C05_B,Light,True,PROFILE,C05_B_Light
C05_B,ColdFront,False,SWITCH,N/A
C05_B,Cover,False,PROFILE,N/A
C05_B,Deep,False,PROFILE,N/A
C03_R,Default,True,PARAMETER,C03_R_Default
C04_R,Default,True,PARAMETER,C04_R_Default
C06_R,Defense,True,PROFILE,C06_R_Defense
C07_R,Defense,True,PROFILE,C07_R_Defense
C08_R,Grazing,True,PROFILE,C08_R_Grazing
C08_R,Suspended,True,PROFILE,C08_R_Suspended
C09_R,Density,True,PROFILE,C09_R_Density
C09_R,Suitability,True,PROFILE,C09_R_Suitability
C09_R,Match,True,PROFILE,C09_R_Match
C10_R,Density,True,PROFILE,C10_R_Density
C10_R,Suitability,True,PROFILE,C10_R_Suitability
C10_R,Match,True,PROFILE,C10_R_Match
C11_R,Density,True,PROFILE,C11_R_Density
C11_R,Suitability,True,PROFILE,C11_R_Suitability
C11_R,Match,True,PROFILE,C11_R_Match
C12_N,Match,True,PROFILE,C12_N_Match
C12_N,Presentation,True,PROFILE,C12_N_Presentation
C12_N,Familiarity,False,PROFILE,N/A
C12_M,Salience,True,PROFILE,C12_M_Salience
C12_M,Pursuit,True,PROFILE,C12_M_Pursuit
C13_J,Match,True,PROFILE,C13_J_Match
C13_J,Presentation,True,PROFILE,C13_J_Presentation
C13_J,Familiarity,False,PROFILE,N/A
C13_O,Match,True,PROFILE,C13_O_Match
C13_O,Presentation,True,PROFILE,C13_O_Presentation
C13_O,Familiarity,False,PROFILE,N/A
C13_S,Match,True,PROFILE,C13_S_Match
C13_S,Presentation,True,PROFILE,C13_S_Presentation
C13_S,Familiarity,False,PROFILE,N/A
BASS_N_B,Temperature,True,PROFILE,BASS_N_B_Temperature
BASS_N_B,Anchor,True,PARAMETER,BASS_N_B_Anchor
BASS_N_B,Structure,True,PROFILE,BASS_N_B_Structure
BASS_N_B,Depth,True,PROFILE,BASS_N_B_Depth
BASS_N_B,Light,False,PROFILE,N/A
BASS_N_B,ColdFront,True,SWITCH,N/A
BASS_N_B,Cover,True,PROFILE,BASS_N_B_Cover
BASS_N_B,Deep,True,PROFILE,BASS_N_B_Deep
BASS_G_B,Temperature,True,PROFILE,BASS_G_B_Temperature
BASS_G_B,Anchor,True,PARAMETER,BASS_G_B_Anchor
BASS_G_B,Structure,True,PROFILE,BASS_G_B_Structure
BASS_G_B,Depth,True,PROFILE,BASS_G_B_Depth
BASS_G_B,Light,False,PROFILE,N/A
BASS_G_B,ColdFront,False,SWITCH,N/A
BASS_G_B,Cover,False,PROFILE,N/A
BASS_G_B,Deep,False,PROFILE,N/A
BASS_C_B,Warmth,True,PROFILE,BASS_C_B_Warmth
BASS_C_B,Stability,True,PROFILE,BASS_C_B_Stability
BASS_C_B,Refuge,True,PROFILE,BASS_C_B_Refuge
BASS_S_B,OxygenMin,True,PARAMETER,BASS_S_B_OxygenMin
BASS_S_B,Cooling,True,PROFILE,BASS_S_B_Cooling
BASS_S_B,Oxygen,True,PROFILE,BASS_S_B_Oxygen
BASS_S_B,Tradeoff,True,PROFILE,BASS_S_B_Tradeoff
BASS_F_B,ForageMin,True,PARAMETER,BASS_F_B_ForageMin
BASS_F_B,Forage,True,PROFILE,BASS_F_B_Forage
BASS_F_B,Vertical,True,PROFILE,BASS_F_B_Vertical
